Date,Sales
2023-01-01,204.97
2023-01-02,200.34
2023-01-03,209.93
2023-01-04,220.41
2023-01-05,204.56
2023-01-06,206.28
2023-01-07,226.13
2023-01-08,219.73
2023-01-09,209.07
2023-01-10,220.9
2023-01-11,212.54
2023-01-12,214.22
2023-01-13,222.99
2023-01-14,203.12
2023-01-15,206.68
2023-01-16,219.98
2023-01-17,217.14
2023-01-18,232.07
2023-01-19,221.49
2023-01-20,218.09
2023-01-21,248.5
2023-01-22,233.2
2023-01-23,237.74
2023-01-24,224.42
2023-01-25,234.81
2023-01-26,242.94
2023-01-27,231.88
2023-01-28,248.69
2023-01-29,240.47
2023-01-30,245.08
2023-01-31,243.48
2023-02-01,269.52
2023-02-02,252.34
2023-02-03,243.35
2023-02-04,263.6
2023-02-05,244.6
2023-02-06,260.31
2023-02-07,240.02
2023-02-08,247.71
2023-02-09,264.32
2023-02-10,271.07
2023-02-11,266.72
2023-02-12,265.16
2023-02-13,264.58
2023-02-14,254.07
2023-02-15,262.9
2023-02-16,266.71
2023-02-17,283.09
2023-02-18,277.13
2023-02-19,257.22
2023-02-20,279.23
2023-02-21,273.24
2023-02-22,271.41
2023-02-23,285.36
2023-02-24,290.6
2023-02-25,290.62
2023-02-26,273.91
2023-02-27,280.17
2023-02-28,287.52
2023-03-01,294.88
2023-03-02,281.23
2023-03-03,285.03
2023-03-04,276.67
2023-03-05,276.58
2023-03-06,297.46
2023-03-07,303.66
2023-03-08,290.11
2023-03-09,301.58
2023-03-10,295.84
2023-03-11,286.42
2023-03-12,297.12
2023-03-13,309.48
2023-03-14,294.31
2023-03-15,310.86
2023-03-16,269.53
2023-03-17,304.43
2023-03-18,297.54
2023-03-19,294.1
2023-03-20,298.41
2023-03-21,277.99
2023-03-22,296.01
2023-03-23,302.09
2023-03-24,313.57
2023-03-25,293.87
2023-03-26,291.19
2023-03-27,294.45
2023-03-28,308.78
2023-03-29,303.05
2023-03-30,294.57
2023-03-31,305.07
2023-04-01,300.96
2023-04-02,309.69
2023-04-03,292.96
2023-04-04,296.66
2023-04-05,295.94
2023-04-06,285.13
2023-04-07,302.59
2023-04-08,302.07
2023-04-09,299.32
2023-04-10,296.7
2023-04-11,284.64
2023-04-12,294.31
2023-04-13,294.78
2023-04-14,289.84
2023-04-15,295.88
2023-04-16,301.13
2023-04-17,315.53
2023-04-18,297.96
2023-04-19,298.3
2023-04-20,294.47
2023-04-21,275.48
2023-04-22,293.83
2023-04-23,294.1
2023-04-24,317.51
2023-04-25,290.3
2023-04-26,294.56
2023-04-27,290.49
2023-04-28,278.41
2023-04-29,300.76
2023-04-30,296.06
2023-05-01,295.64
2023-05-02,277.79
2023-05-03,300.05
2023-05-04,271.11
2023-05-05,290.08
2023-05-06,305.17
2023-05-07,272.39
2023-05-08,275.64
2023-05-09,281.29
2023-05-10,274.21
2023-05-11,262.68
