Competitor_Sales,Advertising_Spend,Price,Customer_Rating,Product_Availability,Market_Share
1360,24754.139990366963,44.89062352753548,2.347858902869826,1,24.83378318962844
4272,26110.42513821416,46.20944122179004,4.998175674876377,0,26.384324629480542
3592,37342.660267204614,88.6836223549214,2.623004674460244,0,27.413212421875954
966,35243.44680488432,55.909874124894266,1.8819537387564256,1,35.95307197937212
4926,20724.952136252046,75.10642890510576,4.0499315379022125,1,16.640778769129625
3944,11683.132267210238,19.37236221282587,3.1698840138506243,0,17.14295284296508
3671,32607.654220697143,30.289487991732447,1.5984057981078101,1,38.35285043321558
3419,21663.49279311081,73.2649096880809,2.522758724643463,0,16.05524960843516
630,7481.534345141189,14.752356442167528,2.6578788621573732,1,21.374464598197072
2185,45128.042760582895,53.79378960193778,4.015318802276875,0,42.825825800222376
1269,34869.87102287306,63.94320690966405,1.0826854755676178,0,35.59189506549113
2891,34476.00896582859,64.1931079647233,2.076078587193242,0,34.332636249404544
2933,41306.609919672024,12.063953014123783,3.070385205262088,0,52.211461278514584
1684,26953.422254098972,38.98972038062669,2.0753869698113734,0,21.6242360988606
3885,40937.6669917204,67.28415859442387,3.5137361896759955,1,52.77182809639806
4617,25406.446922039282,23.40997625343191,2.9274699170984664,0,28.026513711978495
3404,4291.594595869794,72.5874083495248,2.4468410194383226,0,5.309775496290369
974,20857.156313356747,77.13326879323071,4.796834507482049,0,29.959935893730282
1582,25375.779805014638,98.37722714015308,3.5286379967458297,0,19.57202274701491
3058,36289.926499982495,28.885779537076846,1.519765489071765,0,40.56951133915423
2547,6222.357776305043,84.26176008995037,3.240366789773582,1,0.4195671207497056
3247,7860.908394362001,56.82669192267886,4.1229274128036035,1,17.40890192999052
1475,13920.506329096206,43.611633652975605,3.8339587899711893,0,13.426356887597356
2306,14058.421275173228,21.013908159266016,1.6883569171810375,1,15.526279206087496
689,36877.044344494054,76.19550458387839,4.889679996160414,0,40.56745738348684
3234,13285.80236751829,31.22718392293184,2.795254582986424,1,19.67509198981103
3505,32021.80510451493,43.427980168574116,1.6361000149610452,1,40.793588659712334
2399,25219.4186567753,15.62880042076316,1.7207830165125917,0,24.83825969965172
1767,29091.42453079063,82.12302242375671,1.392939968756322,1,29.358676097295636
2028,42067.2411957365,78.99296715744791,4.214072433739737,1,52.44738159064187
3702,20814.69357590219,76.02542470380813,1.4881219772873946,0,17.017061864420757
4056,38774.65747614925,36.949915944269804,1.5005010285669877,0,35.33000418825479
4390,21679.76691798368,25.613206683936152,4.40188645904335,1,19.272050470500307
1146,18339.697451501223,67.37979380232068,2.3784163377902385,1,25.774929583904942
3388,47972.731688347805,54.65497457018975,1.1234316172322898,1,43.53187581617159
2935,10034.175113269197,26.04272202141774,1.2075811980736435,0,4.8382728111219535
1100,5426.511068302786,71.73201439448773,1.5686817868155822,1,-5.4009772185636375
2863,38778.31035123845,99.20137886391733,1.8535733919027582,1,27.549248296702025
2561,4344.235562350488,77.2497628967834,3.6605847769536215,1,8.538955292715217
741,42016.87054444844,76.59877480170506,1.629305120007313,0,42.904945942666245
2541,22422.476421504933,95.52814776375325,1.475497564708288,0,19.081266131823867
3324,45860.17018730379,28.264273081741198,4.058876565905116,0,51.813185147706726
3112,36355.11019497338,60.899496842929636,3.6842211354396577,0,31.405999834053052
1863,30909.828683389922,98.1682043530495,2.7412968858209448,1,22.925897290216625
1978,47516.033055830514,24.87646998731571,3.197239085920416,0,45.88976717553339
3056,20435.81927955066,73.02267635000689,2.247936081305674,1,20.49352883479264
1275,47750.25989044202,62.722913137471174,2.9300016809414426,1,42.021409544269275
4514,7615.06259363914,62.78311829698363,3.026690595930983,1,3.8189014005347808
534,24703.992154688225,72.79035647680676,2.5489490847123837,1,21.605418461439783
3652,14225.64989721755,93.66552305881157,4.626288842688651,0,5.762674511231962
2455,27452.296166501477,80.43237458662041,1.0642474599240246,0,21.771410781891717
2085,8938.680016687646,15.0522493074589,4.128685052364984,0,15.155060785494042
4443,42234.95335519213,86.74552178881402,1.4975313249652973,0,42.47650955604978
3573,42473.984616413305,30.298719693315935,4.190189442148798,0,43.725163806210546
1521,47806.57932345047,43.92227482627348,3.463647662706885,1,43.845669574675206
3961,8578.934903278576,51.55595322511439,4.3731123637456095,0,10.299266060301932
3113,31543.294994344546,53.28154006777627,1.3900573025635898,0,23.504799125514015
4343,24237.62812631811,49.16623593298211,3.235922536399096,0,25.988622564883713
2000,17874.802870167427,94.3617964794278,3.0043515210487883,0,5.1476519551891915
661,18225.467895576723,73.54171068976221,3.8247727318534346,1,15.494115273420963
4797,21226.88397973086,66.80535813610356,3.137162207574703,1,16.178814232158814
2481,35541.3519347587,14.48578250046474,3.1629382685324168,1,43.257435607207405
1495,30316.016855139576,91.35219972343373,2.7183837743042587,1,22.5647408832779
3842,23524.394125295425,91.84511728075566,2.2353376960293634,1,10.130078996286088
4298,4720.7371081114825,80.21917570870922,2.9290574450087687,0,1.5478339425853553
1775,4810.501859868897,10.632628343225724,1.4739694350736023,1,8.294608597066075
1516,1114.6301406631346,15.155222596986102,4.846053355932339,1,7.935188626525574
837,48417.27002214723,30.27013320416408,3.857643054506393,1,50.04892891464807
1378,1257.4371093608609,21.821446733041604,4.809868466751388,0,5.337218866638163
1576,6051.593554673499,45.89524267333565,1.906909529319853,0,5.840628508189809
4493,16415.231283661135,93.03607522790107,4.517364080706113,1,11.699108176085513
879,40564.0823390213,52.48543907772984,4.235159938254154,0,42.14344345070395
992,48142.840502441766,11.206236378894905,3.7086096498306946,0,58.191669018650536
2562,39710.66438080095,35.44711206208858,3.500116744340823,1,36.65957126874551
4384,34837.45138983639,14.013541753566539,2.26619866107148,0,37.75015943792134
564,26543.7327032649,13.265886035215194,4.2656431398601224,0,24.803483315478594
3068,5248.555381246997,34.814786778599704,3.006061845918935,0,8.918848745274662
2527,47950.36885719259,34.80511048110509,1.2835663035651415,1,42.14294436221706
3195,38161.228283338394,80.84139423414436,2.25145264342052,1,39.677953211918975
1995,32308.51988137883,97.73511875030007,4.741188394181311,1,24.632648246484703
891,38192.75643140364,43.40863845009984,4.402721042419385,0,44.867729855237464
4974,36481.06313438379,48.59981909749347,4.927622792306156,1,47.58198220187922
4061,32224.347409684855,86.03104926574193,3.5119735304163924,0,25.491742536841098
2778,49048.26320881942,34.132511808596206,1.9900402925616478,0,45.3056679681084
3599,45264.826819165224,24.074362396310317,1.651260198707455,0,41.43893275506611
700,32686.581036741005,86.77806610632854,1.7476577624338465,1,25.074776508954322
3604,34965.58536138931,14.185052779605893,1.0791826333890175,1,38.292554346154084
2954,3528.19452627679,65.7729496179474,2.5627284439437568,1,-0.7611682170660554
4145,33825.95576295192,60.57935627201261,1.76571072199817,1,25.694650453715212
1304,3164.1064477949085,41.13284027515248,2.6466218418268097,0,-5.749702428983171
3231,29824.92409152662,38.36705689876231,4.739977727355061,1,43.47791138892249
3273,49968.321478725906,79.46719535634591,2.72216083802876,0,55.86840177122207
2070,28234.5224904218,17.778214968629182,4.511937987939339,1,38.281762166879844
3190,24187.295785985338,31.310587838024684,3.422019066463506,1,23.848356662984955
4340,16329.88796877379,75.92038586542807,1.9885262186455677,1,16.45341239518035
1528,6905.606360536757,59.34885253537818,2.4234190370368456,0,10.561093768537962
1002,36820.1599014558,21.518938768022775,1.3356781432857177,0,36.06838165416129
4993,10437.35236149589,89.39220528538542,2.333850374384042,0,6.372675301719885
1370,6648.819041116934,45.41030619072324,3.710163782014136,0,15.686957133520346
4988,21666.370326795113,84.50815377899555,1.2884443717177407,0,7.590136907048999
706,39971.75005999577,80.89417139749378,1.8216056339121174,1,40.51765830368149
1984,37508.1628578908,66.19829018245552,2.525764165653246,0,34.394093114169166
1363,3689.2481176772712,54.50330181655837,4.92819814806385,0,2.5324227220938837
3290,23302.040566771648,98.15957563435812,4.139447291835521,0,16.613445220535183
1063,26599.294227487277,23.04685651418353,3.9339469859684155,0,27.83889187541031
4691,32582.785880665288,75.26401547960033,1.464763826101784,1,21.935558384402803
2257,32858.200171718185,27.20716313183101,4.123983574459966,0,47.2423958794001
2178,18870.16522340799,40.44367947991135,4.1410752460640605,1,25.56396246004998
3742,28473.182506172187,37.782886903587574,3.404410782497313,1,36.826129148850896
1559,24572.032308360234,95.23323889648508,4.9614471279934875,1,27.78344413278209
2222,44364.91946964077,97.06205600094476,2.301015623698208,0,39.56688315929358
3814,26982.991499110107,26.471389981125444,4.765089792967407,1,34.23980870376053
3657,22610.57592565992,11.983164426775376,4.658924459826014,0,28.7425452080851
3125,20819.787034410685,74.80072356968017,1.0459226389975114,0,13.852648073236837
3229,29048.960212239817,47.61909404834359,2.800466105899244,0,22.84746615013949
2097,40394.87199064399,17.995622057880794,4.908416932206293,0,53.82127440446981
3560,27381.67302865859,71.53786950193383,1.4124854496323032,0,13.986690547714591
3193,33421.10357894654,59.059497543462975,3.191138777533278,1,28.604378427020805
4127,37154.93257841973,98.24651398009954,4.915830028164416,1,47.22211189154166
1863,26488.237384057862,30.466854627524103,3.2219816964234407,0,30.566379729476466
